,number,name,theme,year,pieces,minifigs,availability,retired,released_date,retired_date,retail,value
143,41173-1,Elvendale School of Dragons,Elves,2016,230,1,Retail,True,2016-01-03 00:00:00,2016-12-12 00:00:00,19.99,69.31
144,41174-1,The Starlight Inn,Elves,2016,343,2,Retail,True,2016-01-03 00:00:00,2016-11-30 00:00:00,29.99,96.68
145,41175-1,Fire Dragon's Lava Cave,Elves,2016,441,2,Retail,True,2016-01-03 00:00:00,2017-11-18 00:00:00,39.99,110.83
146,41176-1,The Secret Market Place,Elves,2016,691,2,Retail,True,2016-01-03 00:00:00,2016-11-21 00:00:00,59.99,157.05
147,41177-1,The Precious Crystal Mine,Elves,2016,273,0,Retail,True,2016-01-08 00:00:00,2016-09-12 00:00:00,29.99,56.33
148,41178-1,The Dragon Sanctuary,Elves,2016,585,2,Retail,True,2016-01-08 00:00:00,2016-06-12 00:00:00,49.99,335.0
149,41179-1,Queen Dragon's Rescue,Elves,2016,833,2,Retail,True,2016-01-08 00:00:00,2017-11-20 00:00:00,69.99,207.36
150,41180-1,Ragana's Magic Shadow Castle,Elves,2016,1014,3,Retail,True,2016-01-08 00:00:00,2017-06-12 00:00:00,89.99,197.23
151,41554-1,Kuffs,Mixels,2016,63,0,Retail,True,2016-02-02 00:00:00,2016-08-06 00:00:00,3.99,8.8
152,41555-1,Busto,Mixels,2016,69,0,Retail,True,2016-02-02 00:00:00,2016-08-06 00:00:00,3.99,8.06
153,41556-1,Tiketz,Mixels,2016,62,0,Retail,True,2016-02-02 00:00:00,2016-04-06 00:00:00,3.99,10.39
154,41557-1,Camillot,Mixels,2016,64,0,Retail,True,2016-02-02 00:00:00,2016-11-05 00:00:00,3.99,8.77
155,41558-1,Mixadel,Mixels,2016,63,0,Retail,True,2016-02-02 00:00:00,2016-05-13 00:00:00,3.99,9.37
156,41559-1,Paladum,Mixels,2016,64,0,Retail,True,2016-02-02 00:00:00,2016-11-05 00:00:00,3.99,8.92
157,41560-1,Jamzy,Mixels,2016,70,0,Retail,True,2016-02-02 00:00:00,2016-05-13 00:00:00,3.99,8.8
158,41561-1,Tapsy,Mixels,2016,57,0,Retail,True,2016-02-02 00:00:00,2016-10-05 00:00:00,3.99,17.52
159,41562-1,Trumpsy,Mixels,2016,54,0,Retail,True,2016-02-02 00:00:00,2016-05-14 00:00:00,3.99,8.89
160,41563-1,Splasho,Mixels,2016,67,0,Retail,True,2016-01-06 00:00:00,2016-07-12 00:00:00,3.99,12.58
161,41564-1,Aquad,Mixels,2016,70,0,Retail,True,2016-01-06 00:00:00,2016-12-18 00:00:00,3.99,12.29
162,41565-1,Hydro,Mixels,2016,70,0,Retail,True,2016-01-06 00:00:00,2016-12-18 00:00:00,3.99,13.97
163,41566-1,Sharx,Mixels,2016,55,0,Retail,True,2016-01-06 00:00:00,2016-11-10 00:00:00,3.99,25.98
164,41567-1,Skulzy,Mixels,2016,66,0,Retail,True,2016-01-06 00:00:00,2016-04-10 00:00:00,3.99,20.46
165,41568-1,Lewt,Mixels,2016,62,0,Retail,True,2016-01-06 00:00:00,2016-11-27 00:00:00,3.99,22.01
166,41569-1,Surgeo,Mixels,2016,63,0,Retail,True,2016-01-06 00:00:00,2016-10-15 00:00:00,3.99,21.6
167,41570-1,Skrubz,Mixels,2016,68,0,Retail,True,2016-01-06 00:00:00,2016-11-17 00:00:00,3.99,21.84
168,41571-1,Tuth,Mixels,2016,67,0,Retail,True,2016-01-06 00:00:00,2016-12-10 00:00:00,3.99,18.15
169,41572-1,Gobbol,Mixels,2016,62,0,Retail,True,2016-02-10 00:00:00,2016-11-29 00:00:00,3.99,17.01
170,41573-1,Sweepz,Mixels,2016,61,0,Retail,True,2016-02-10 00:00:00,2016-11-27 00:00:00,3.99,22.13
171,41574-1,Compax,Mixels,2016,66,0,Retail,True,2016-02-10 00:00:00,2016-11-30 00:00:00,3.99,17.59
172,41575-1,Cobrax,Mixels,2016,64,0,Retail,True,2016-02-10 00:00:00,2016-11-26 00:00:00,3.99,17.44
173,41576-1,Spinza,Mixels,2016,60,0,Retail,True,2016-02-10 00:00:00,2016-11-26 00:00:00,3.99,21.99
174,41577-1,Mysto,Mixels,2016,64,0,Retail,True,2016-02-10 00:00:00,2016-11-27 00:00:00,3.99,22.08
175,41578-1,Screeno,Mixels,2016,73,0,Retail,True,2016-02-10 00:00:00,2016-11-26 00:00:00,3.99,22.33
176,41579-1,Camsta,Mixels,2016,62,0,Retail,True,2016-02-10 00:00:00,2016-11-27 00:00:00,3.99,16.58
177,41580-1,Myke,Mixels,2016,63,0,Retail,True,2016-02-10 00:00:00,2016-11-27 00:00:00,3.99,14.38
178,42044-1,Display Team Jet,Technic,2016,113,0,Retail,True,2015-02-12 00:00:00,2017-11-26 00:00:00,9.99,26.14
179,42045-1,Hydroplane Racer,Technic,2016,180,0,Retail,True,2015-02-12 00:00:00,2017-08-12 00:00:00,14.99,25.82
180,42046-1,Getaway Racer,Technic,2016,170,0,Retail,True,2015-02-12 00:00:00,2017-11-25 00:00:00,19.99,30.79
181,42047-1,Police Interceptor,Technic,2016,185,0,Retail,True,2015-02-12 00:00:00,2017-11-16 00:00:00,19.99,29.62
182,42048-1,Race Kart,Technic,2016,345,0,Retail,True,2016-02-01 00:00:00,2017-11-25 00:00:00,26.99,81.42
183,42049-1,Mine Loader,Technic,2016,476,0,Retail,True,2016-02-01 00:00:00,2017-05-12 00:00:00,39.99,65.87
184,42050-1,Drag Racer,Technic,2016,647,0,Retail,True,2016-02-01 00:00:00,2017-05-12 00:00:00,59.99,92.18
185,42052-1,Heavy Lift Helicopter,Technic,2016,1042,0,Retail,True,2016-02-01 00:00:00,2017-12-19 00:00:00,119.99,201.41
186,42053-1,Volvo EW 160E,Technic,2016,1166,0,Retail,True,2016-01-08 00:00:00,2017-10-21 00:00:00,119.99,164.28
187,42054-1,CLAAS XERION 5000 TRAC VC,Technic,2016,1977,0,Retail,True,2016-01-08 00:00:00,2018-03-16 00:00:00,149.99,240.23
188,42055-1,Bucket Wheel Excavator,Technic,2016,3927,0,Retail,True,2016-01-08 00:00:00,2018-12-18 00:00:00,229.99,383.99
189,42056-1,Porsche 911 GT3 RS,Technic,2016,2704,0,RetailLimited,True,2016-07-30 00:00:00,2019-04-30 00:00:00,299.99,696.63
190,45012-1,Wild Animals Set,Education,2016,104,0,Retail,True,2017-01-08 00:00:00,2019-01-08 00:00:00,70.36,105.18
191,45300-1,WeDo 2.0 Core Set,Education,2016,280,0,Retail,True,2016-06-01 00:00:00,2018-06-01 00:00:00,70.36,325.41
