Number,Name,Theme,Subtheme,Year,Pieces,Minifigs,Availability,Retired,ReleasedDate,RetiredDate,Retail,Paid,Value,Growth,Condition,Date,Notes,Collection,Status,URL
40334-1,Avengers Tower,Marvel Super Heroes,Avengers,2019,211,1,Promotional,True,19/04/2019,02/05/2019,"0;00 €","0;00 €","32;61 €",3161.28,New,,,Default,Owned,https://www.brickeconomy.com/set/40334-1/lego-avengers-tower
40366-1,LEGO House Dinosaurs,Promotional,LEGO House,2019,864,0,Exclusive,True,17/04/2019,17/04/2021,"89;99 €","89;99 €","103;99 €",15.56,New,,,Default,Owned,https://www.brickeconomy.com/set/40366-1/lego-house-dinosaurs
70837-1,Shimmer & Shine Sparkle Spa!,The Lego Movie 2 The Second Part,,2019,691,8,Retail,True,22/04/2019,30/03/2020,"69;99 €","69;99 €","51;00 €",-27.14,New,,,Default,Owned,https://www.brickeconomy.com/set/70837-1/shimmer-shine-sparkle-spa
70838-1,"Queen Watevra's ‘So-Not-Evil' Space Palace",The Lego Movie 2 The Second Part,,2019,995,5,Retail,True,22/04/2019,14/03/2020,"99;99 €","99;99 €","86;24 €",-13.75,New,,,Default,Owned,https://www.brickeconomy.com/set/70838-1/queen-watevras-so-not-evil-space-palace
70839-1,The Rexcelsior!,The Lego Movie 2 The Second Part,,2019,1826,4,Retail,True,22/04/2019,11/06/2020,"149;99 €","149;99 €","169;06 €",12.71,New,,,Default,Owned,https://www.brickeconomy.com/set/70839-1/the-lego-movie-2-the-second-part-the-rexcelsior
70842-1,"Emmet's Triple-Decker Couch Mech",The Lego Movie 2 The Second Part,,2019,312,3,Retail,True,25/04/2019,20/10/2020,"29;99 €","29;99 €","42;67 €",42.28,New,,,Default,Owned,https://www.brickeconomy.com/set/70842-1/emmets-triple-decker-couch-mech
71024-0,Random Bag,Minifigure Series,Disney Series 2,2019,0,1,Retail,True,19/05/2019,01/01/2020,"3;99 €","3;99 €","5;53 €",38.51,New,,,Default,Owned,https://www.brickeconomy.com/set/71024-0/disney-series-2-random-bag
71024-1,Vintage Mickey,Minifigure Series,Disney Series 2,2019,5,1,Retail,True,19/05/2019,01/01/2020,"3;99 €","3;99 €","4;20 €",5.20,New,,,Default,Owned,https://www.brickeconomy.com/set/71024-1/lego-disney-minifigure-series-2-vintage-mickey
71024-2,Vintage Minnie,Minifigure Series,Disney Series 2,2019,6,1,Retail,True,19/05/2019,01/01/2020,"3;99 €","3;99 €","3;52 €",-11.78,New,,,Default,Owned,https://www.brickeconomy.com/set/71024-2/lego-disney-minifigure-series-2-vintage-minnie
71024-3,Huey,Minifigure Series,Disney Series 2,2019,6,1,Retail,True,19/05/2019,01/01/2020,"3;99 €","3;99 €","7;90 €",98.06,New,,,Default,Owned,https://www.brickeconomy.com/set/71024-3/lego-disney-minifigure-series-2-huey
71024-4,Dewey,Minifigure Series,Disney Series 2,2019,6,1,Retail,True,19/05/2019,01/01/2020,"3;99 €","3;99 €","7;09 €",77.76,New,,,Default,Owned,https://www.brickeconomy.com/set/71024-4/lego-disney-minifigure-series-2-dewey
71024-5,Louie,Minifigure Series,Disney Series 2,2019,7,1,Retail,True,19/05/2019,01/01/2020,"3;99 €","3;99 €","5;27 €",32.11,New,,,Default,Owned,https://www.brickeconomy.com/set/71024-5/lego-disney-minifigure-series-2-louie
71024-6,Scrooge McDuck,Minifigure Series,Disney Series 2,2019,7,1,Retail,True,19/05/2019,01/01/2020,"3;99 €","3;99 €","3;52 €",-11.78,New,,,Default,Owned,https://www.brickeconomy.com/set/71024-6/lego-disney-minifigure-series-2-scrooge-mcduck
71024-7,Chip,Minifigure Series,Disney Series 2,2019,5,1,Retail,True,19/05/2019,01/01/2020,"3;99 €","3;99 €","5;07 €",27.04,New,,,Default,Owned,https://www.brickeconomy.com/set/71024-7/lego-disney-minifigure-series-2-chip
71024-8,Dale,Minifigure Series,Disney Series 2,2019,4,1,Retail,True,19/05/2019,01/01/2020,"3;99 €","3;99 €","6;93 €",73.57,New,,,Default,Owned,https://www.brickeconomy.com/set/71024-8/lego-disney-minifigure-series-2-dale
71024-9,Elsa,Minifigure Series,Disney Series 2,2019,6,1,Retail,True,19/05/2019,01/01/2020,"3;99 €","3;99 €","4;09 €",2.56,New,,,Default,Owned,https://www.brickeconomy.com/set/71024-9/lego-disney-minifigure-series-2-elsa
71024-10,Anna,Minifigure Series,Disney Series 2,2019,7,1,Retail,True,19/05/2019,01/01/2020,"3;99 €","3;99 €","3;65 €",-8.47,New,,,Default,Owned,https://www.brickeconomy.com/set/71024-10/lego-disney-minifigure-series-2-anna
71024-11,Jafar,Minifigure Series,Disney Series 2,2019,7,1,Retail,True,19/05/2019,01/01/2020,"3;99 €","3;99 €","3;95 €",-0.97,New,,,Default,Owned,https://www.brickeconomy.com/set/71024-11/lego-disney-minifigure-series-2-jafar
71024-12,Jasmine,Minifigure Series,Disney Series 2,2019,5,1,Retail,True,19/05/2019,01/01/2020,"3;99 €","3;99 €","3;82 €",-4.28,New,,,Default,Owned,https://www.brickeconomy.com/set/71024-12/lego-disney-minifigure-series-2-jasmine
71024-13,Hades,Minifigure Series,Disney Series 2,2019,5,1,Retail,True,19/05/2019,01/01/2020,"3;99 €","3;99 €","5;63 €",41.15,New,,,Default,Owned,https://www.brickeconomy.com/set/71024-13/lego-disney-minifigure-series-2-hades
71024-14,Hercules,Minifigure Series,Disney Series 2,2019,7,1,Retail,True,19/05/2019,01/01/2020,"3;99 €","3;99 €","5;22 €",30.79,New,,,Default,Owned,https://www.brickeconomy.com/set/71024-14/lego-disney-minifigure-series-2-hercules
71024-15,Sally,Minifigure Series,Disney Series 2,2019,6,1,Retail,True,19/05/2019,01/01/2020,"3;99 €","3;99 €","4;75 €",19.10,New,,,Default,Owned,https://www.brickeconomy.com/set/71024-15/lego-disney-minifigure-series-2-sally
