Date,Open,High,Low,Close
2011-07-31,1501.6,1632.65,1478.35,1624.85
2011-08-31,1610.15,1912.14,1609,1825.34
2011-09-30,1824.52,1921.07,1533.19,1623.83
2011-10-31,1620.28,1752.59,1595.76,1709.82
2011-11-30,1710.7,1803.1,1666.8,1749.34
2011-12-31,1748.75,1762.55,1522.86,1564.81
2012-01-31,1569.36,1747.5,1567.14,1737.23
2012-02-29,1737.12,1790.71,1688.75,1695.47
2012-03-31,1695,1726,1628.22,1668.28
2012-04-30,1670.22,1683.7,1612.53,1663.7
2012-05-31,1665.2,1670.8,1526.63,1558.7
2012-06-30,1559.85,1639.2,1544.81,1596.95
2012-07-31,1597.51,1628.82,1554.26,1614.08
2012-08-31,1613.63,1692.58,1584.69,1691.61
2012-09-30,1687.75,1787.2,1685.17,1771.25
2012-10-31,1765.4,1795.54,1698.26,1719.71
2012-11-30,1719.1,1753.92,1672.29,1714.4
2012-12-31,1716.72,1722.95,1635.29,1676.4
2013-01-31,1670.6,1696.09,1625.44,1663.38
2013-02-28,1662.05,1684.55,1554.73,1579.16
2013-03-31,1579.12,1616.23,1561.14,1596.65
2013-04-30,1595.77,1603.47,1321.42,1476.23
2013-05-31,1475.64,1487.53,1338.06,1385.08
2013-06-30,1392.04,1423.15,1180.16,1232.63
2013-07-31,1243.09,1346.64,1208.27,1324.83
2013-08-31,1325.93,1433.6,1272.95,1393.98
2013-09-30,1381.53,1416.06,1291.83,1328.82
2013-10-31,1328.81,1361.65,1251.81,1323.25
2013-11-30,1325.06,1327.6,1226.67,1253.78
2013-12-31,1247.97,1267.64,1182.1,1204.12
2014-01-31,1205.1,1275,1204.8,1244.75
2014-02-28,1243.9,1345.24,1240.82,1323.58
2014-03-31,1341.9,1388.34,1282.46,1283.9
2014-04-30,1284.48,1331.01,1268.55,1291.26
2014-05-31,1292.33,1315.57,1242.25,1250.55
2014-06-30,1248.06,1329.2,1240.7,1327.06
2014-07-31,1325.98,1344.83,1280.94,1282.59
2014-08-31,1282.75,1322.44,1272.9,1287.12
2014-09-30,1286.41,1289.9,1204.53,1208.09
2014-10-31,1207.42,1255.02,1161.18,1171.85
2014-11-30,1166.33,1207.71,1131.78,1168.85
2014-12-31,1150.35,1237.98,1146.55,1183
2015-01-31,1187.09,1306.43,1167.69,1283.8
2015-02-28,1280.54,1285.06,1190.43,1211.57
2015-03-31,1215.52,1223,1142.73,1183.38
2015-04-30,1183.07,1224.45,1175.51,1184.5
2015-05-31,1184.19,1232.54,1170.18,1190.22
2015-06-30,1192.49,1205.79,1163.05,1172.36
2015-07-31,1173.25,1175.31,1077.64,1095.23
2015-08-31,1095.22,1170.18,1081.32,1134.6
2015-09-30,1135.33,1156.9,1099.05,1115.34
2015-10-31,1115.54,1191.63,1104.97,1142.22
2015-11-30,1140.95,1143.2,1052.87,1064.66
2015-12-31,1064.92,1089.09,1046.64,1061.46
2016-01-31,1064.65,1128.11,1062.61,1117.69
2016-02-29,1117.94,1263.13,1117.23,1238.86
2016-03-31,1240.49,1283.04,1208.64,1232.95
2016-04-30,1232.78,1296.74,1209.41,1293.03
2016-05-31,1291.31,1303.89,1200.21,1215.74
2016-06-30,1215.92,1358.61,1206.28,1321.94
2016-07-31,1322.32,1375.42,1311.12,1352.15
2016-08-31,1348.65,1367.57,1304.64,1308.88
2016-09-30,1308.6,1352.4,1302.46,1317.57
2016-10-31,1318.24,1319.45,1241.28,1276.66
2016-11-30,1276.42,1335.39,1170.88,1173.32
2016-12-31,1173.53,1188.11,1123.04,1150.91
2017-01-31,1150.53,1220.04,1146.18,1210.61
2017-02-28,1211.06,1263.94,1198.29,1248.89
2017-03-31,1248.18,1261.1,1195.26,1247.31
2017-04-30,1250.51,1295.54,1243.94,1268.16
2017-05-31,1268.39,1274.2,1214.33,1268.58
2017-06-30,1269.12,1296,1236.7,1241.38
2017-07-31,1241.81,1271.15,1204.97,1269.4
2017-08-31,1269.62,1326.03,1251.67,1320.64
2017-09-30,1321.98,1357.56,1277.91,1280.59
2017-10-31,1280.04,1306.09,1260.69,1271.31
2017-11-30,1270.6,1299.25,1265.71,1274.87
2017-12-31,1274.57,1307.63,1236.57,1303.33
2018-01-31,1303.38,1366.12,1302.48,1345.13
2018-02-28,1345.09,1361.8,1307.15,1318.23
2018-03-31,1319.52,1356.86,1302.87,1325.43
2018-04-30,1326.02,1365.12,1310.5,1315.93
2018-05-31,1315.38,1326,1282.19,1298.46
2018-06-30,1298.97,1309.34,1246.02,1252.55
2018-07-31,1251.96,1265.92,1211.72,1222.92
2018-08-31,1223.95,1224.84,1160.31,1199.52
2018-09-30,1201.09,1212.72,1181.01,1191.96
2018-10-31,1192.48,1243.49,1183.41,1215.37
2018-11-30,1215.32,1237.39,1196.4,1222.13
2018-12-31,1222.34,1284.14,1221.38,1282.56
2019-01-31,1282.6,1326.32,1276.79,1321.37
2019-02-28,1321.34,1346.8,1302.61,1312.45
2019-03-31,1314.14,1324.58,1281.02,1292.3
2019-04-30,1292.46,1310.63,1266.55,1283.48
2019-05-31,1283.34,1306.98,1266.48,1305.87
2019-06-30,1307.21,1438.8,1306.16,1411.07
2019-07-31,1398.55,1452.81,1381.89,1413.73
2019-08-31,1413.05,1555.16,1400.6,1523.72
2019-09-30,1528.45,1557.1,1464.64,1472.72
2019-10-31,1472.34,1519.44,1459.25,1513.17
2019-11-30,1512.4,1515.88,1445.78,1464.02
2019-12-31,1464.07,1525.31,1454.05,1517.305
2020-01-31,1518.17,1611.45,1517.32,1586.88
2020-02-29,1593.43,1689.04,1547.58,1577.4
2020-03-31,1592.13,1703.16,1451.28,1575.15
2020-04-30,1576.59,1747.4,1569.8,1686.855
2020-05-31,1686.93,1765.12,1670.59,1731.5
2020-06-30,1736.49,1785.96,1671.03,1780.96
2020-07-31,1782.69,1982.77,1757.75,1974.2
2020-08-31,1979.6,2075.11,1864.19,1967.82
2020-09-30,1967.59,1992.47,1848.81,1885.8
2020-10-31,1886.25,1933.23,1860.1,1878.38
2020-11-30,1877.11,1965.55,1764.72,1776.77
2020-12-31,1777.15,1906.73,1775.83,1898.705
2021-01-31,1903.49,1959.11,1804.01,1842.81
2021-02-28,1862.7,1871.76,1717.15,1727.48
2021-03-31,1733.82,1759.54,1676.95,1707.65
2021-04-30,1708,1797.87,1705.85,1767.94
2021-05-31,1770.46,1912.81,1766.21,1906.75
2021-06-30,1907.4,1916.59,1751.16,1770.21
2021-07-31,1770.03,1833.93,1765.85,1813.91
2021-08-31,1814.2,1831.63,1671.9,1813.47
2021-09-30,1814.095,1834.1,1721.53,1756.895
2021-10-31,1756.8,1813.74,1746.01,1782.82
2021-11-30,1780.88,1877.09,1758.99,1774.96
2021-12-31,1775.085,1830.35,1754.81,1829.5
2022-01-31,1830.05,1853.88,1780.33,1797.35
2022-02-28,1797.985,1974.04,1788.88,1908.82
2022-03-31,1907.645,2069.94,1890.42,1937.27
2022-04-30,1937.58,1998.325,1872.355,1896.395
2022-05-31,1896.11,1909.845,1787.395,1837.635
2022-06-30,1836.92,1878.985,1802.885,1807.215
2022-07-31,1807.3,1814.355,1681.205,1761.035
2022-08-31,1765.7,1807.785,1709.695,1711.145
2022-09-30,1711.07,1735.125,1614.905,1661.815
2022-10-31,1661.67,1729.345,1617.395,1632.755
2022-11-30,1632.75,1786.395,1616.755,1768.615
2022-12-31,1768.69,1833.31,1765.92,1823.48
2023-01-31,1828.86,1949.16,1824.4,1928.28
2023-02-28,1928.13,1959.71,1805.1,1826.8
2023-03-31,1826.9,2009.6,1809.6,1970.8
2023-04-30,1969.17,2048.19,1949.94,1989.27
2023-05-31,1989.94,2078.925,1932.25,1962.93
2023-06-30,1962.89,1983.49,1893.075,1920.185
2023-07-31,1919.93,1987.52,1902.835,1965.575
2023-08-31,1965.78,1966.065,1884.89,1940.095
2023-09-30,1940.19,1952.925,1846.39,1848.49
2023-10-31,1848.09,2009.41,1810.565,1984.65
2023-11-30,1984.9,2051.935,1921.12,2036.195
2023-12-31,2037.13,2144.83,1973.14,2063.235
